id,observed_on,latitude,longitude,place_county_name,place_state_name,place_country_name,scientific_name,common_name,taxon_family_name,taxon_genus_name,taxon_species_name
4209143,2016-09-16,33.747711,-111.226337,Gila,Arizona,United States,Abaeis nicippe,Sleepy Orange,Pieridae,Abaeis,Abaeis nicippe
4209148,2016-09-16,33.747738,-111.226242,Gila,Arizona,United States,Nathalis iole,Dainty Sulphur,Pieridae,Nathalis,Nathalis iole
4209149,2016-09-16,33.748636,-111.226728,Gila,Arizona,United States,Hylephila phyleus,Fiery Skipper,Hesperiidae,Hylephila,Hylephila phyleus
4209362,2016-09-26,32.337223053,-110.9780578613,Pima,Arizona,United States,Asterocampa leilia,Empress Leilia,Nymphalidae,Asterocampa,Asterocampa leilia
4209588,2016-09-12,32.3383331299,-110.9788894653,Pima,Arizona,United States,Chiomara georgina,White-patched Skipper,Hesperiidae,Chiomara,Chiomara georgina
4210221,2016-08-14,31.53908,-110.760798,Santa Cruz,Arizona,United States,Amblyscirtes tolteca,Toltec Roadside-Skipper,Hesperiidae,Amblyscirtes,Amblyscirtes tolteca
4210235,2016-09-16,33.758708,-111.846448,Maricopa,Arizona,United States,Battus philenor,Pipevine Swallowtail,Papilionidae,Battus,Battus philenor
4210236,2016-09-16,33.761386,-111.843303,Maricopa,Arizona,United States,Apodemia mormo autumnalis,Autumn Metalmark,Riodinidae,Apodemia,Apodemia mormo
4210237,2016-09-16,33.76103,-111.843256,Maricopa,Arizona,United States,Chlosyne californica,California Patch,Nymphalidae,Chlosyne,Chlosyne californica
4210238,2016-09-16,33.758708,-111.846081,Maricopa,Arizona,United States,Danaus gilippus,Queen,Nymphalidae,Danaus,Danaus gilippus
4210240,2016-09-16,33.758991,-111.844728,Maricopa,Arizona,United States,Abaeis nicippe,Sleepy Orange,Pieridae,Abaeis,Abaeis nicippe
4210242,2016-09-16,33.761472,-111.843112,Maricopa,Arizona,United States,Apodemia mormo autumnalis,Autumn Metalmark,Riodinidae,Apodemia,Apodemia mormo
4210243,2016-09-16,33.761472,-111.843112,Maricopa,Arizona,United States,Chlosyne californica,California Patch,Nymphalidae,Chlosyne,Chlosyne californica
4210246,2016-09-16,33.761561,-111.843059,Maricopa,Arizona,United States,Strymon melinus,Gray Hairstreak,Lycaenidae,Strymon,Strymon melinus
4210247,2016-09-16,33.761491,-111.843573,Maricopa,Arizona,United States,Battus philenor,Pipevine Swallowtail,Papilionidae,Battus,Battus philenor
4210249,2016-09-16,33.759933,-111.843812,Maricopa,Arizona,United States,Abaeis nicippe,Sleepy Orange,Pieridae,Abaeis,Abaeis nicippe
4210274,2016-08-13,31.8768866667,-109.1793216667,Cochise,Arizona,United States,Papilio multicaudata,Two-tailed Swallowtail,Papilionidae,Papilio,Papilio multicaudata
4210284,2016-08-13,31.88323,-109.205228,Cochise,Arizona,United States,Hemiargus ceraunus,Ceraunus Blue,Lycaenidae,Hemiargus,Hemiargus ceraunus
4210285,2016-08-13,31.877172,-109.178809,Cochise,Arizona,United States,Autochton cellus,Golden Banded-Skipper,Hesperiidae,Autochton,Autochton cellus
4210286,2016-08-13,31.877086,-109.178831,Cochise,Arizona,United States,Chlosyne lacinia,Bordered Patch,Nymphalidae,Chlosyne,Chlosyne lacinia
4210288,2016-08-13,31.876405,-109.179553,Cochise,Arizona,United States,Celastrina echo cinerea,Southwestern Azure,Lycaenidae,Celastrina,Celastrina echo
4210291,2016-08-13,31.87818,-109.178381,Cochise,Arizona,United States,Autochton cellus,Golden Banded-Skipper,Hesperiidae,Autochton,Autochton cellus
4210292,2016-08-13,31.879413,-109.177264,Cochise,Arizona,United States,Celastrina echo cinerea,Southwestern Azure,Lycaenidae,Celastrina,Celastrina echo
4210293,2016-08-13,31.87698,-109.178981,Cochise,Arizona,United States,Chlosyne lacinia,Bordered Patch,Nymphalidae,Chlosyne,Chlosyne lacinia
4210400,2016-09-17,32.9167,-110.734709,Pinal,Arizona,United States,Libytheana carinenta,American Snout,Nymphalidae,Libytheana,Libytheana carinenta
4210402,2016-09-17,32.916747,-110.734381,Pinal,Arizona,United States,Phoebis sennae,Cloudless Sulphur,Pieridae,Phoebis,Phoebis sennae
