id,observed_on,latitude,longitude,place_county_name,place_state_name,place_country_name,scientific_name,common_name,taxon_family_name,taxon_genus_name,taxon_species_name
28871276,2019-07-14,45.1105945,-109.398195,Carbon,Montana,United States,Aglais milberti,Milbert's Tortoiseshell,Nymphalidae,Aglais,Aglais milberti
28879359,2019-07-15,46.6533574,-111.90057753,Lewis and Clark,Montana,United States,Vanessa cardui,Painted Lady,Nymphalidae,Vanessa,Vanessa cardui
28883122,2019-07-15,46.6555505,-111.9010599,Lewis and Clark,Montana,United States,Vanessa atalanta,Red Admiral,Nymphalidae,Vanessa,Vanessa atalanta
28890609,2019-07-10,46.89583,-113.4316,Missoula,Montana,United States,Euphydryas colon,Snowberry Checkerspot,Nymphalidae,Euphydryas,Euphydryas colon
28911672,2019-07-15,48.4807966667,-114.363595,Flathead,Montana,United States,Thymelicus lineola,European Skipper,Hesperiidae,Thymelicus,Thymelicus lineola
28947049,2019-07-15,48.7972633333,-113.6735383333,Glacier,Montana,United States,Limenitis arthemis rubrofasciata,Western White Admiral,Nymphalidae,Limenitis,Limenitis arthemis
28952834,2019-07-16,45.0313708652,-110.707933847,Park,Montana,United States,Nymphalis antiopa,Mourning Cloak,Nymphalidae,Nymphalis,Nymphalis antiopa
28960647,2019-07-11,48.523005,-114.0002666667,Flathead,Montana,United States,Limenitis lorquini,Lorquin's Admiral,Nymphalidae,Limenitis,Limenitis lorquini
29023493,2019-07-11,46.9206517034,-113.9451749046,Missoula,Montana,United States,Vanessa cardui,Painted Lady,Nymphalidae,Vanessa,Vanessa cardui
29023586,2019-07-11,46.9207542949,-113.9458615558,Missoula,Montana,United States,Speyeria cybele,Great Spangled Fritillary,Nymphalidae,Speyeria,Speyeria cybele
29091038,2019-07-02,46.0755316667,-113.5265483333,Granite,Montana,United States,Callophrys eryphon,Western Pine Elfin,Lycaenidae,Callophrys,Callophrys eryphon
29091384,2019-07-02,46.0016433333,-113.52793,Granite,Montana,United States,Vanessa cardui,Painted Lady,Nymphalidae,Vanessa,Vanessa cardui
29091412,2019-07-02,46.01037,-113.5244866667,Granite,Montana,United States,Aglais milberti,Milbert's Tortoiseshell,Nymphalidae,Aglais,Aglais milberti
29091824,2019-07-18,46.6572083333,-111.710275,Lewis and Clark,Montana,United States,Nymphalis antiopa,Mourning Cloak,Nymphalidae,Nymphalis,Nymphalis antiopa
29115191,2019-07-13,47.0280704986,-114.0027048805,Missoula,Montana,United States,Pontia protodice,Checkered White,Pieridae,Pontia,Pontia protodice
29139309,2019-07-19,47.0086260612,-113.3225435965,Missoula,Montana,United States,Nymphalis antiopa,Mourning Cloak,Nymphalidae,Nymphalis,Nymphalis antiopa
29145709,2019-07-19,46.6771309404,-113.9400736616,Missoula,Montana,United States,Speyeria cybele,Great Spangled Fritillary,Nymphalidae,Speyeria,Speyeria cybele
29147230,2019-07-19,45.8130531111,-108.643898,Yellowstone,Montana,United States,Vanessa cardui,Painted Lady,Nymphalidae,Vanessa,Vanessa cardui
29192232,2019-07-18,45.6727943012,-111.0286968155,Gallatin,Montana,United States,Limenitis weidemeyerii,Weidemeyer's Admiral,Nymphalidae,Limenitis,Limenitis weidemeyerii
29200006,2019-07-20,46.9393833333,-113.9693366667,Missoula,Montana,United States,Colias philodice,Clouded Sulphur,Pieridae,Colias,Colias philodice
29215206,2019-07-14,45.4408668082,-111.209775392,Gallatin,Montana,United States,Callophrys gryneus,Juniper Hairstreak,Lycaenidae,Callophrys,Callophrys gryneus
29249829,2019-07-20,45.7794116667,-108.52115,Yellowstone,Montana,United States,Nymphalis antiopa,Mourning Cloak,Nymphalidae,Nymphalis,Nymphalis antiopa
29256753,2019-07-21,47.6031004172,-114.8657663539,Sanders,Montana,United States,Vanessa cardui,Painted Lady,Nymphalidae,Vanessa,Vanessa cardui
29277848,2019-07-21,45.7614441141,-110.8410227925,Gallatin,Montana,United States,Speyeria mormonia,Mormon Fritillary,Nymphalidae,Speyeria,Speyeria mormonia
29278070,2019-07-21,45.7615224319,-110.8412386292,Gallatin,Montana,United States,Speyeria mormonia,Mormon Fritillary,Nymphalidae,Speyeria,Speyeria mormonia
29278198,2019-07-21,45.7615329023,-110.8412442822,Gallatin,Montana,United States,Coenonympha haydenii,Hayden's Ringlet,Nymphalidae,Coenonympha,Coenonympha haydenii
