id,observed_on,latitude,longitude,place_county_name,place_state_name,place_country_name,scientific_name,common_name,taxon_family_name,taxon_subfamily_name,taxon_tribe_name,taxon_genus_name,taxon_species_name
555964,2009-05-06,48.67957,25.80343,,,Ukraine,Colias alfacariensis,Berger's Clouded Yellow,Pieridae,Coliadinae,,Colias,Colias alfacariensis
559361,1998-07-30,47.96282,23.89348,,,Ukraine,Colias croceus,Clouded Yellow,Pieridae,Coliadinae,,Colias,Colias croceus
562424,1997-09-17,48.545233,22.258697,,,Ukraine,Colias erate,Eastern Pale Clouded Yellow,Pieridae,Coliadinae,,Colias,Colias erate
572417,1996-08-24,48.518809,22.245049,,,Ukraine,Colias hyale,Pale Clouded Yellow,Pieridae,Coliadinae,,Colias,Colias hyale
575121,1999-04-01,48.79725,22.57308,,,Ukraine,Gonepteryx rhamni,Common Brimstone,Pieridae,Coliadinae,,Gonepteryx,Gonepteryx rhamni
575940,1997-05-03,48.13592,23.07353,,,Ukraine,Pararge aegeria,Speckled Wood,Nymphalidae,Satyrinae,Elymniini,Pararge,Pararge aegeria
576243,2008-06-20,48.7154092604,-121.2892227788,Skagit,Washington,United States,Callophrys johnsoni,Johnson’s Hairstreak,Lycaenidae,Theclinae,Eumaeini,Callophrys,Callophrys johnsoni
577030,2001-06-11,48.94097,23.93153,,,Ukraine,Lopinga achine,Woodland Brown,Nymphalidae,Satyrinae,Elymniini,Lopinga,Lopinga achine
586026,1998-05-24,48.17278,22.74668,,,Ukraine,Lasiommata maera,Large Wall Brown,Nymphalidae,Satyrinae,Elymniini,Lasiommata,Lasiommata maera
603267,1998-07-30,47.9643,23.90393,,,Ukraine,Lasiommata megera,Wall Brown,Nymphalidae,Satyrinae,Elymniini,Lasiommata,Lasiommata megera
605697,2013-06-13,19.313351,-99.196533,,Distrito Federal,Mexico,Phoebis philea philea,,Pieridae,Coliadinae,,Phoebis,Phoebis philea
605807,1997-07-06,48.734,22.41678,,,Ukraine,Melanargia galathea,Marbled White,Nymphalidae,Satyrinae,Satyrini,Melanargia,Melanargia galathea
606523,2014-04-03,19.56622,-99.052362,,México,Mexico,Papilio rogeri pharnaces,Pink-spotted Swallowtail,Papilionidae,Papilioninae,Papilionini,Papilio,Papilio rogeri
607173,2000-06-17,48.65247,22.384,,,Ukraine,Coenonympha arcania,Pearly Heath,Nymphalidae,Satyrinae,Satyrini,Coenonympha,Coenonympha arcania
612887,2000-06-15,48.98203,22.64883,,,Ukraine,Coenonympha glycerion,Chestnut Heath,Nymphalidae,Satyrinae,Satyrini,Coenonympha,Coenonympha glycerion
614349,2001-06-10,48.80805,24.3286,,,Ukraine,Coenonympha hero,Scarce Heath,Nymphalidae,Satyrinae,Satyrini,Coenonympha,Coenonympha hero
625036,2000-06-02,48.45762,22.31808,,,Ukraine,Coenonympha pamphilus,Small Heath,Nymphalidae,Satyrinae,Satyrini,Coenonympha,Coenonympha pamphilus
626914,2001-06-13,49.93373,23.75618,,,Ukraine,Coenonympha tullia,Common Ringlet,Nymphalidae,Satyrinae,Satyrini,Coenonympha,Coenonympha tullia
628191,1998-08-20,48.97317,22.65303,,,Ukraine,Erebia aethiops,Scotch Argus,Nymphalidae,Satyrinae,Satyrini,Erebia,Erebia aethiops
632836,2014-04-16,18.080589,-96.523903,,Oaxaca,Mexico,Callicore tolima tehuana,,Nymphalidae,Biblidinae,Callicorini,Callicore,Callicore tolima
633030,1997-07-29,48.96803,22.67963,,,Ukraine,Erebia euryale,Large Ringlet,Nymphalidae,Satyrinae,Satyrini,Erebia,Erebia euryale
633084,1997-07-29,48.96803,22.67963,,,Ukraine,Erebia euryale,Large Ringlet,Nymphalidae,Satyrinae,Satyrini,Erebia,Erebia euryale
633096,2000-08-12,48.13679,24.48006,,,Ukraine,Erebia euryale,Large Ringlet,Nymphalidae,Satyrinae,Satyrini,Erebia,Erebia euryale
635435,1997-08-05,48.15245,24.4845,,,Ukraine,Erebia manto,Yellow-spotted Ringlet,Nymphalidae,Satyrinae,Satyrini,Erebia,Erebia manto
637328,1998-06-22,48.9701,22.66478,,,Ukraine,Erebia medusa,Woodland Ringlet,Nymphalidae,Satyrinae,Satyrini,Erebia,Erebia medusa
640568,1997-07-13,48.73173,22.4271,,,Ukraine,Aphantopus hyperantus,Ringlet,Nymphalidae,Satyrinae,Satyrini,Aphantopus,Aphantopus hyperantus
640595,1998-07-17,48.80187,22.56165,,,Ukraine,Aphantopus hyperantus,Ringlet,Nymphalidae,Satyrinae,Satyrini,Aphantopus,Aphantopus hyperantus
640604,1998-08-11,48.73837,22.41037,,,Ukraine,Aphantopus hyperantus,Ringlet,Nymphalidae,Satyrinae,Satyrini,Aphantopus,Aphantopus hyperantus
643500,1997-09-09,48.96803,22.67963,,,Ukraine,Maniola jurtina,Meadow Brown,Nymphalidae,Satyrinae,Satyrini,Maniola,Maniola jurtina
643524,1998-07-25,48.45687,22.69055,Mukachivs'ka,,Ukraine,Maniola jurtina,Meadow Brown,Nymphalidae,Satyrinae,Satyrini,Maniola,Maniola jurtina
644910,2000-07-06,48.79982,22.5496,,,Ukraine,Hyponephele lycaon,Dusky Meadow Brown,Nymphalidae,Satyrinae,Satyrini,Hyponephele,Hyponephele lycaon
793943,2014-07-20,19.601841,-99.050674,,México,Mexico,Zerene cesonia cesonia,,Pieridae,Coliadinae,,Zerene,Zerene cesonia
793965,2014-07-20,19.601841,-99.050674,,México,Mexico,Chlosyne lacinia lacinia,,Nymphalidae,Nymphalinae,Melitaeini,Chlosyne,Chlosyne lacinia
875615,2014-03-03,0.106902,-76.88094,,,Ecuador,Sarota acantus,,Riodinidae,Riodininae,Helicopini,Sarota,Sarota acantus
887631,2014-09-20,19.788108,-99.022114,,México,Mexico,Chlosyne lacinia,Bordered Patch,Nymphalidae,Nymphalinae,Melitaeini,Chlosyne,Chlosyne lacinia
894673,2014-09-25,19.780757,-99.017887,,México,Mexico,Papilio polyxenes asterius,Eastern Black Swallowtail,Papilionidae,Papilioninae,Papilionini,Papilio,Papilio polyxenes
895875,2014-09-26,19.780757,-99.018402,,México,Mexico,Vanessa annabella,West Coast Lady,Nymphalidae,Nymphalinae,Nymphalini,Vanessa,Vanessa annabella
896700,2014-09-26,19.766724,-98.988265,,México,Mexico,Leptophobia aripa elodia,,Pieridae,Pierinae,Pierini,Leptophobia,Leptophobia aripa
1026914,2014-10-07,19.76839,-99.00681,,México,Mexico,Leptophobia aripa elodia,,Pieridae,Pierinae,Pierini,Leptophobia,Leptophobia aripa
1081514,2014-11-17,19.780475,-99.015505,,México,Mexico,Pontia protodice,Checkered White,Pieridae,Pierinae,Pierini,Pontia,Pontia protodice
1081520,2014-11-17,19.780763,-99.015492,,México,Mexico,Vanessa annabella,West Coast Lady,Nymphalidae,Nymphalinae,Nymphalini,Vanessa,Vanessa annabella
1106785,2014-12-01,19.782009,-99.020473,,México,Mexico,Colias eurytheme,Orange Sulphur,Pieridae,Coliadinae,,Colias,Colias eurytheme
1108908,2014-12-02,19.780752,-99.01899,,México,Mexico,Callophrys xami,Xami Hairstreak,Lycaenidae,Theclinae,Eumaeini,Callophrys,Callophrys xami
1122916,2014-12-06,19.782882,-99.017703,,México,Mexico,Catasticta nimbice,Mexican Dartwhite,Pieridae,Pierinae,Pierini,Catasticta,Catasticta nimbice
1126831,2014-12-08,19.783948,-99.034238,,México,Mexico,Danaus plexippus,Monarch,Nymphalidae,Danainae,Danaini,Danaus,Danaus plexippus
1147110,1998-07-26,48.17278,22.74668,,,Ukraine,Minois dryas,Dryad,Nymphalidae,Satyrinae,Satyrini,Minois,Minois dryas
1148717,1997-07-16,48.1988717749,23.0569607004,,,Ukraine,Hipparchia fagi,Woodland Grayling,Nymphalidae,Satyrinae,Satyrini,Hipparchia,Hipparchia fagi
1154493,2007-06-19,48.17278,22.74668,,,Ukraine,Brintesia circe,Great Banded Grayling,Nymphalidae,Satyrinae,Satyrini,Brintesia,Brintesia circe
1158117,1997-07-29,48.97317,22.65303,,,Ukraine,Erebia ligea,Arran Brown,Nymphalidae,Satyrinae,Satyrini,Erebia,Erebia ligea
1158151,1997-07-13,48.74072,22.39808,,,Ukraine,Erebia ligea,Arran Brown,Nymphalidae,Satyrinae,Satyrini,Erebia,Erebia ligea
1159795,1997-07-29,48.98203,22.64883,,,Ukraine,Apatura iris,Purple Emperor,Nymphalidae,Apaturinae,,Apatura,Apatura iris
1159874,2000-05-21,48.0814,23.47437,,,Ukraine,Neptis rivularis,Hungarian Glider,Nymphalidae,Limenitidinae,Neptini,Neptis,Neptis rivularis
1163715,2000-06-25,48.89265,22.68563,,,Ukraine,Limenitis camilla,Eurasian White Admiral,Nymphalidae,Limenitidinae,Limenitidini,Limenitis,Limenitis camilla
1166463,1997-06-16,48.80187,22.56165,,,Ukraine,Limenitis populi,Poplar Admiral,Nymphalidae,Limenitidinae,Limenitidini,Limenitis,Limenitis populi
1166484,1997-06-16,48.80187,22.56165,,,Ukraine,Limenitis populi,Poplar Admiral,Nymphalidae,Limenitidinae,Limenitidini,Limenitis,Limenitis populi
1168035,2000-08-12,48.15245,24.4845,,,Ukraine,Polygonia c-album,European Comma,Nymphalidae,Nymphalinae,Nymphalini,Polygonia,Polygonia c-album
1168057,1998-07-01,48.06875,23.46157,,,Ukraine,Polygonia c-album,European Comma,Nymphalidae,Nymphalinae,Nymphalini,Polygonia,Polygonia c-album
1168066,1998-06-17,48.46162,22.3502,,,Ukraine,Polygonia c-album,European Comma,Nymphalidae,Nymphalinae,Nymphalini,Polygonia,Polygonia c-album
1175323,1999-04-01,48.77983,22.54433,,,Ukraine,Nymphalis antiopa,Mourning Cloak,Nymphalidae,Nymphalinae,Nymphalini,Nymphalis,Nymphalis antiopa
1176356,1998-04-01,48.65247,22.384,,,Ukraine,Nymphalis xanthomelas,Scarce Tortoiseshell,Nymphalidae,Nymphalinae,Nymphalini,Nymphalis,Nymphalis xanthomelas
1181602,1999-04-11,48.50868,22.51937,,,Ukraine,Nymphalis polychloros,Large Tortoiseshell,Nymphalidae,Nymphalinae,Nymphalini,Nymphalis,Nymphalis polychloros
1183182,1997-09-09,48.96803,22.67963,,,Ukraine,Aglais io,European Peacock Butterfly,Nymphalidae,Nymphalinae,Nymphalini,Aglais,Aglais io
1184553,1998-08-20,48.98203,22.64883,,,Ukraine,Aglais urticae,Small Tortoiseshell,Nymphalidae,Nymphalinae,Nymphalini,Aglais,Aglais urticae
1184565,1998-08-20,48.9701,22.66478,,,Ukraine,Aglais urticae,Small Tortoiseshell,Nymphalidae,Nymphalinae,Nymphalini,Aglais,Aglais urticae
1186493,1997-08-05,48.15245,24.4845,,,Ukraine,Vanessa atalanta,Red Admiral,Nymphalidae,Nymphalinae,Nymphalini,Vanessa,Vanessa atalanta
1186641,1997-09-09,48.97317,22.65303,,,Ukraine,Vanessa atalanta,Red Admiral,Nymphalidae,Nymphalinae,Nymphalini,Vanessa,Vanessa atalanta
1186654,1998-05-28,48.13679,24.48006,,,Ukraine,Vanessa atalanta,Red Admiral,Nymphalidae,Nymphalinae,Nymphalini,Vanessa,Vanessa atalanta
1188229,2000-09-02,48.65247,22.384,,,Ukraine,Vanessa cardui,Painted Lady,Nymphalidae,Nymphalinae,Nymphalini,Vanessa,Vanessa cardui
1191188,1998-07-17,48.77143,22.54193,,,Ukraine,Araschnia levana,Map,Nymphalidae,Nymphalinae,Nymphalini,Araschnia,Araschnia levana
1191189,1999-05-13,48.96803,22.67963,,,Ukraine,Araschnia levana,Map,Nymphalidae,Nymphalinae,Nymphalini,Araschnia,Araschnia levana
1191360,2001-07-06,48.8106,24.32888,,,Ukraine,Euphydryas aurinia,Marsh Fritillary,Nymphalidae,Nymphalinae,Melitaeini,Euphydryas,Euphydryas aurinia
1192341,1999-05-26,48.43173,22.42648,,,Ukraine,Euphydryas maturna,Scarce Fritillary,Nymphalidae,Nymphalinae,Melitaeini,Euphydryas,Euphydryas maturna
1192382,1999-05-26,48.43173,22.42648,,,Ukraine,Euphydryas maturna,Scarce Fritillary,Nymphalidae,Nymphalinae,Melitaeini,Euphydryas,Euphydryas maturna
1196425,1997-06-22,48.98203,22.64883,,,Ukraine,Melitaea athalia,Heath Fritillary,Nymphalidae,Nymphalinae,Melitaeini,Melitaea,Melitaea athalia
1196441,2000-05-13,48.0814,23.47437,,,Ukraine,Melitaea athalia,Heath Fritillary,Nymphalidae,Nymphalinae,Melitaeini,Melitaea,Melitaea athalia
1201638,1998-05-24,48.13592,23.07353,,,Ukraine,Melitaea cinxia,Glanville Fritillary,Nymphalidae,Nymphalinae,Melitaeini,Melitaea,Melitaea cinxia
1207209,2001-06-10,48.82055,24.33473,,,Ukraine,Melitaea diamina,False Heath Fritillary,Nymphalidae,Nymphalinae,Melitaeini,Melitaea,Melitaea diamina
1207230,1998-07-28,47.9643,23.90393,,,Ukraine,Melitaea didyma,Spotted Fritillary,Nymphalidae,Nymphalinae,Melitaeini,Melitaea,Melitaea didyma
1209239,1998-05-24,48.1781,22.74607,,,Ukraine,Melitaea phoebe,Knapweed Fritillary,Nymphalidae,Nymphalinae,Melitaeini,Melitaea,Melitaea phoebe
1226318,2000-08-11,48.65247,22.384,,,Ukraine,Boloria dia,Weaver's Fritillary,Nymphalidae,Heliconiinae,Argynnini,Boloria,Boloria dia
1238685,2015-02-16,20.70327,-101.307486,,Guanajuato,Mexico,Papilio polyxenes asterius,Eastern Black Swallowtail,Papilionidae,Papilioninae,Papilionini,Papilio,Papilio polyxenes
1274086,2003-06-03,48.4653,23.63745,,,Ukraine,Boloria aquilonaris,Cranberry Fritillary,Nymphalidae,Heliconiinae,Argynnini,Boloria,Boloria aquilonaris
1527671,2015-04-19,-7.7679,112.198,,East Java,Indonesia,Hypolimnas misippus,Danaid Eggfly,Nymphalidae,Nymphalinae,Junoniini,Hypolimnas,Hypolimnas misippus
1527743,2015-04-19,-7.7679,112.198,,East Java,Indonesia,Appias olferna,Striped Albatross,Pieridae,Pierinae,Pierini,Appias,Appias olferna
1674016,2013-06-26,21.998286,120.85124,Pingtung,,Taiwan,Heliophorus ila matsumurae,,Lycaenidae,Lycaeninae,Heliophorini,Heliophorus,Heliophorus ila
1715274,2015-07-01,19.798041,-99.13908,,México,Mexico,Dione juno,Juno Silverspot,Nymphalidae,Heliconiinae,Heliconiini,Dione,Dione juno
1810037,2015-06-30,44.013317,-96.325291,Pipestone,Minnesota,United States,Danaus plexippus,Monarch,Nymphalidae,Danainae,Danaini,Danaus,Danaus plexippus
1922415,2015-08-01,41.011978,-74.741967,Sussex,New Jersey,United States,Papilio cresphontes,Eastern Giant Swallowtail,Papilionidae,Papilioninae,Papilionini,Papilio,Papilio cresphontes
1922455,2012-05-06,40.328258,-74.942545,Bucks,Pennsylvania,United States,Papilio troilus,Spicebush Swallowtail,Papilionidae,Papilioninae,Papilionini,Papilio,Papilio troilus
2390172,2014-08-05,33.242657,-97.109358,Denton,Texas,United States,Phyciodes phaon,Phaon Crescent,Nymphalidae,Nymphalinae,Melitaeini,Phyciodes,Phyciodes phaon
2444942,2015-10-02,8.080517,-78.215468,,,Panama,Adelpha malea fundania,,Nymphalidae,Limenitidinae,Limenitidini,Adelpha,Adelpha malea
2881487,2016-04-02,33.306419,-97.041984,Denton,Texas,United States,Phoebis sennae,Cloudless Sulphur,Pieridae,Coliadinae,,Phoebis,Phoebis sennae
2963602,2016-04-16,33.421564,-97.055317,Cooke,Texas,United States,Erynnis baptisiae,Wild Indigo Duskywing,Hesperiidae,Pyrginae,Erynnini,Erynnis,Erynnis baptisiae
2963885,2016-04-16,33.421559,-97.05506,Cooke,Texas,United States,Thorybes pylades,Northern Cloudywing,Hesperiidae,Eudaminae,,Thorybes,Thorybes pylades
3165024,2016-05-11,33.30479,-97.040951,Denton,Texas,United States,Strymon melinus,Gray Hairstreak,Lycaenidae,Theclinae,Eumaeini,Strymon,Strymon melinus
3497649,2016-06-21,18.150138,-94.425642,,Veracruz,Mexico,Ascia monuste monuste,,Pieridae,Pierinae,Pierini,Ascia,Ascia monuste
